fold,t,n_essential_group,coverage,pos_coverage,neg_coverage,Accuracy
1,0.1,0,0.6018166666666667,0.0002517211988994926,0.966468482890253,0.5465147193220526
2,0.1,0,0.64039,0.0001619814752094715,0.9695361531065705,0.557321840336878
3,0.1,0,0.671225,0.0009559558207987902,0.9703817088310092,0.53244441133748
4,0.1,0,0.6563516666666667,0.0010557172727645443,0.9721714517180738,0.6051837048736577
5,0.1,0,0.633315,0.0001580512756653719,0.9712402896676184,0.5550423828058181
1,0.1,>=1,0.364545,0.9659337310822687,0.0,0.5638718585268394
2,0.1,>=1,0.32986166666666666,0.9714814433040294,0.0,0.6379037677410228
3,0.1,>=1,0.29809,0.9659690529556317,0.0,0.5336978764802577
4,0.1,>=1,0.31465666666666664,0.9675392562830553,0.0,0.48864900367596426
5,0.1,>=1,0.3370183333333333,0.9684759546536522,0.0,0.5726839786163958
1,0.2,0,0.5790483333333334,0.00024288887613108933,0.9299039776849173,0.54820409349824
2,0.2,0,0.618835,0.00015707294565766932,0.9369020851786521,0.5591932152081465
3,0.2,0,0.6488566666666666,0.0009181496583943183,0.938046740348805,0.5329887956764976
4,0.2,0,0.6360433333333333,0.0010300930671149195,0.9420878697464877,0.607948619852945
5,0.2,0,0.6128233333333334,0.0001580512756653719,0.9398119154309611,0.5565959738260619
1,0.2,>=1,0.35051,0.9287452360659068,0.0,0.5662748566374711
2,0.2,>=1,0.31936333333333333,0.9405626156572275,0.0,0.6420482418144433
3,0.2,>=1,0.28717333333333334,0.930593286705733,0.0,0.5353503110780945
4,0.2,>=1,0.30345333333333335,0.9330900742076995,0.0,0.4881036073641197
5,0.2,>=1,0.32505833333333334,0.9341069863453276,0.0,0.5755633604224882
1,0.3,0,0.5508133333333334,0.00020755958505747635,0.8845751273560535,0.5502075718331679
2,0.3,0,0.592155,0.00014234735700226282,0.8965132623216823,0.561618157408111
3,0.3,0,0.621525,0.0008641408549593584,0.8985404187106028,0.5332287518603435
4,0.3,0,0.6112633333333334,0.0009634701324258948,0.9053972613566756,0.6113295415505592
5,0.3,0,0.58739,0.0001580512756653719,0.9008044334585015,0.5582038055352208
1,0.3,>=1,0.3337483333333333,0.884331901024991,0.0,0.5693811205049714
2,0.3,>=1,0.3065466666666667,0.9028160234038689,0.0,0.6474979339741638
3,0.3,>=1,0.27369333333333334,0.8869109664875374,0.0,0.5375663759925952
4,0.3,>=1,0.2896283333333333,0.890579517034972,0.0,0.4881428497442124
5,0.3,>=1,0.31051833333333334,0.8923239763785185,0.0,0.5794558560686165
1,0.4,0,0.5075666666666667,0.0001678141325996617,0.815137635554223,0.5534412556642806
2,0.4,0,0.5515633333333333,0.00010798765013964767,0.8350707719173398,0.5651844152076824
3,0.4,0,0.5798933333333334,0.0008047311711809025,0.8383540840554906,0.5333250942702106
4,0.4,0,0.5726383333333334,0.0008507236275675454,0.8482112865300638,0.6164653082370198
5,0.4,0,0.5493183333333334,0.00015326184306945157,0.8424159076908133,0.5600638366945699
1,0.4,>=1,0.30764,0.8151527329414726,0.0,0.575532007107875
2,0.4,>=1,0.28679166666666667,0.8446352226263578,0.0,0.6557721923579835
3,0.4,>=1,0.253085,0.8201290810402095,0.0,0.5419193814989693
4,0.4,>=1,0.268435,0.825412037226846,0.0,0.48785242858295924
5,0.4,>=1,0.288405,0.8287777846958471,0.0,0.5859410666712898
